,rob_signed,vader_compound,afinn_per_word,nrc_positive,nrc_negative,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_sadness,nrc_surprise,nrc_trust,hedge_density
rob_signed,1.0,0.29229455921228825,0.4076787948842887,0.2069437030017379,-0.35554115180036994,-0.26850396317163244,0.07964189172032038,-0.23270020117314125,-0.2603516877654928,0.08005301695973507,-0.2592709166467719,-0.03359242022374753,0.06600284446025152,-0.1642086802854308
vader_compound,0.29229455921228825,1.0,0.6471398906771132,0.40153303959304065,-0.09380451335855008,0.021023274706784136,0.34422502416547934,0.06034852732065609,0.0006112919503473087,0.4433144409892931,0.01538219658630708,0.27706675168796197,0.34010348089806997,0.18993072094186186
afinn_per_word,0.4076787948842887,0.6471398906771132,1.0,0.3899655254431007,-0.28299724613788346,-0.16271302138951696,0.2680886169937592,-0.11198800331549473,-0.18877936474189908,0.3660929717964991,-0.17235923734184866,0.17273165814914476,0.27607141960377285,0.07282581934471694
nrc_positive,0.2069437030017379,0.40153303959304065,0.3899655254431007,1.0,-0.15068416030308643,-0.12924694976444254,0.21552905801467215,-0.1087973901244797,-0.12731110237462412,0.2886471241789295,-0.12346124049568918,0.06415586208990746,0.44028404142205696,0.1863113040705577
nrc_negative,-0.35554115180036994,-0.09380451335855008,-0.28299724613788346,-0.15068416030308643,1.0,0.5615995538717372,0.07608249843770197,0.4358937640199072,0.563671810247513,-0.025521932349683443,0.6117261617173334,0.1604504998500756,-0.04281939082100739,0.30673764930457265
nrc_anger,-0.26850396317163244,0.021023274706784136,-0.16271302138951696,-0.12924694976444254,0.5615995538717372,1.0,0.1039633520737271,0.522391307562119,0.4971545155129381,0.10339471759672847,0.47497701048862295,0.24785314075435205,-0.0022076091672483837,0.2796582828822804
nrc_anticipation,0.07964189172032038,0.34422502416547934,0.2680886169937592,0.21552905801467215,0.07608249843770197,0.1039633520737271,1.0,0.10704914473819012,0.0868997635576987,0.42550032058160825,0.10582713892688801,0.3957164328150293,0.23772842865870752,0.24276413339453523
nrc_disgust,-0.23270020117314125,0.06034852732065609,-0.11198800331549473,-0.1087973901244797,0.4358937640199072,0.522391307562119,0.10704914473819012,1.0,0.41397578655710465,0.1195405254216557,0.4547161079651885,0.2568988889412422,0.004355423483338645,0.25808587049434656
nrc_fear,-0.2603516877654928,0.0006112919503473087,-0.18877936474189908,-0.12731110237462412,0.563671810247513,0.4971545155129381,0.0868997635576987,0.41397578655710465,1.0,0.10054598454981742,0.6030629980469413,0.18643592518555363,0.02470148252729729,0.28168683356143165
nrc_joy,0.08005301695973507,0.4433144409892931,0.3660929717964991,0.2886471241789295,-0.025521932349683443,0.10339471759672847,0.42550032058160825,0.1195405254216557,0.10054598454981742,1.0,0.09423375500297027,0.42010378790969294,0.3799135137777201,0.26097128158773125
nrc_sadness,-0.2592709166467719,0.01538219658630708,-0.17235923734184866,-0.12346124049568918,0.6117261617173334,0.47497701048862295,0.10582713892688801,0.4547161079651885,0.6030629980469413,0.09423375500297027,1.0,0.22562244765378117,-0.03114199777055784,0.3009261272662366
nrc_surprise,-0.03359242022374753,0.27706675168796197,0.17273165814914476,0.06415586208990746,0.1604504998500756,0.24785314075435205,0.3957164328150293,0.2568988889412422,0.18643592518555363,0.42010378790969294,0.22562244765378117,1.0,0.15420684764644801,0.2828289182690278
nrc_trust,0.06600284446025152,0.34010348089806997,0.27607141960377285,0.44028404142205696,-0.04281939082100739,-0.0022076091672483837,0.23772842865870752,0.004355423483338645,0.02470148252729729,0.3799135137777201,-0.03114199777055784,0.15420684764644801,1.0,0.237608273360593
hedge_density,-0.1642086802854308,0.18993072094186186,0.07282581934471694,0.1863113040705577,0.30673764930457265,0.2796582828822804,0.24276413339453523,0.25808587049434656,0.28168683356143165,0.26097128158773125,0.3009261272662366,0.2828289182690278,0.237608273360593,1.0
